Dim,Method,Value,Time
20,"tabu_scramble, simulated_annealing, make_change_scramble",497,12.33
20,"tabu_scramble, simulated_annealing, make_change_inverse",515,11.66
20,"tabu_scramble_continuous, local_search, make_change_swap",516,18.99
20,"tabu_scramble_continuous, local_search, make_change_scramble",515,19.69
20,"tabu_scramble_continuous, local_search, make_change_inverse",497,19.83
20,"tabu_scramble_continuous, simulated_annealing, make_change_swap",497,19.58
20,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",515,20.55
20,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",506,20.66
33,"tabu_swap_neighbors, local_search, make_change_swap",2056,11.68
33,"tabu_swap_neighbors, local_search, make_change_scramble",2166,12.67
33,"tabu_swap_neighbors, local_search, make_change_inverse",2090,11.03
33,"tabu_swap_neighbors, simulated_annealing, make_change_swap",2129,11.44
33,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",2136,11.89
33,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",2199,11.53
33,"tabu_inverse, local_search, make_change_swap",2100,13.08
33,"tabu_inverse, local_search, make_change_scramble",2071,14.75
33,"tabu_inverse, local_search, make_change_inverse",2151,12.48
33,"tabu_inverse, simulated_annealing, make_change_swap",2067,13.18
33,"tabu_inverse, simulated_annealing, make_change_scramble",2073,12.91
33,"tabu_inverse, simulated_annealing, make_change_inverse",2062,12.32
33,"tabu_inverse_complete, local_search, make_change_swap",2101,75.17
33,"tabu_inverse_complete, local_search, make_change_scramble",2076,74.88
33,"tabu_inverse_complete, local_search, make_change_inverse",2133,76.82
33,"tabu_inverse_complete, simulated_annealing, make_change_swap",2111,83.39
33,"tabu_inverse_complete, simulated_annealing, make_change_scramble",2097,83.58
33,"tabu_inverse_complete, simulated_annealing, make_change_inverse",2055,82.29
33,"tabu_scramble, local_search, make_change_swap",2100,84.68
33,"tabu_scramble, local_search, make_change_scramble",2056,82.48
33,"tabu_scramble, local_search, make_change_inverse",2135,78.67
33,"tabu_scramble, simulated_annealing, make_change_swap",2115,83.33
33,"tabu_scramble, simulated_annealing, make_change_scramble",2110,81.94
33,"tabu_scramble, simulated_annealing, make_change_inverse",2062,79.88
33,"tabu_scramble_continuous, local_search, make_change_swap",2078,141.0
33,"tabu_scramble_continuous, local_search, make_change_scramble",2073,151.08
33,"tabu_scramble_continuous, local_search, make_change_inverse",2196,149.33
33,"tabu_scramble_continuous, simulated_annealing, make_change_swap",2066,147.32
33,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",2175,101.16
33,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",2117,151.21
38,"tabu_swap_neighbors, local_search, make_change_swap",3549,18.28
38,"tabu_swap_neighbors, local_search, make_change_scramble",3603,16.39
38,"tabu_swap_neighbors, local_search, make_change_inverse",3600,9.43
38,"tabu_swap_neighbors, simulated_annealing, make_change_swap",3597,9.43
38,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",3582,10.01
38,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",3584,9.47
38,"tabu_inverse, local_search, make_change_swap",3526,10.4
38,"tabu_inverse, local_search, make_change_scramble",3595,11.16
38,"tabu_inverse, local_search, make_change_inverse",3506,11.25
38,"tabu_inverse, simulated_annealing, make_change_swap",3581,10.95
38,"tabu_inverse, simulated_annealing, make_change_scramble",3535,10.81
38,"tabu_inverse, simulated_annealing, make_change_inverse",3599,10.81
38,"tabu_inverse_complete, local_search, make_change_swap",3582,77.71
38,"tabu_inverse_complete, local_search, make_change_scramble",3565,78.45
38,"tabu_inverse_complete, local_search, make_change_inverse",3523,77.71
38,"tabu_inverse_complete, simulated_annealing, make_change_swap",3571,78.5
38,"tabu_inverse_complete, simulated_annealing, make_change_scramble",3603,80.42
38,"tabu_inverse_complete, simulated_annealing, make_change_inverse",3545,78.8
38,"tabu_scramble, local_search, make_change_swap",3549,81.24
38,"tabu_scramble, local_search, make_change_scramble",3580,81.62
38,"tabu_scramble, local_search, make_change_inverse",3515,80.93
38,"tabu_scramble, simulated_annealing, make_change_swap",3506,80.88
38,"tabu_scramble, simulated_annealing, make_change_scramble",3565,81.92
38,"tabu_scramble, simulated_annealing, make_change_inverse",3608,82.78
12,"tabu_swap_neighbors, local_search, make_change_swap",241,0.83
12,"tabu_swap_neighbors, local_search, make_change_scramble",241,1.08
12,"tabu_swap_neighbors, local_search, make_change_inverse",241,0.86
12,"tabu_swap_neighbors, simulated_annealing, make_change_swap",241,0.87
12,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",241,1.14
12,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",241,0.9
12,"tabu_inverse, local_search, make_change_swap",241,0.87
12,"tabu_inverse, local_search, make_change_scramble",241,1.09
12,"tabu_inverse, local_search, make_change_inverse",241,0.87
12,"tabu_inverse, simulated_annealing, make_change_swap",241,0.91
12,"tabu_inverse, simulated_annealing, make_change_scramble",241,1.14
12,"tabu_inverse, simulated_annealing, make_change_inverse",241,0.91
12,"tabu_inverse_complete, local_search, make_change_swap",241,1.51
12,"tabu_inverse_complete, local_search, make_change_scramble",241,1.74
12,"tabu_inverse_complete, local_search, make_change_inverse",241,1.53
12,"tabu_inverse_complete, simulated_annealing, make_change_swap",241,1.55
12,"tabu_inverse_complete, simulated_annealing, make_change_scramble",241,1.77
12,"tabu_inverse_complete, simulated_annealing, make_change_inverse",241,1.56
12,"tabu_scramble, local_search, make_change_swap",241,1.54
12,"tabu_scramble, local_search, make_change_scramble",241,1.8
12,"tabu_scramble, local_search, make_change_inverse",241,1.54
12,"tabu_scramble, simulated_annealing, make_change_swap",241,1.57
12,"tabu_scramble, simulated_annealing, make_change_scramble",241,1.84
12,"tabu_scramble, simulated_annealing, make_change_inverse",241,1.59
12,"tabu_scramble_continuous, local_search, make_change_swap",241,2.06
12,"tabu_scramble_continuous, local_search, make_change_scramble",241,2.31
12,"tabu_scramble_continuous, local_search, make_change_inverse",241,2.11
12,"tabu_scramble_continuous, simulated_annealing, make_change_swap",241,2.14
12,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",241,2.3
12,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",241,2.17
